Scale Factor,ID,OD,Wall Thickness,Length,Shell Failure,Buckling Failure,Mode of Failure,Mode of Failure
1,2,2.393,5,20,5523,8345,1,Shell
1,2,2.787,10,20,8812,47615,1,Shell
1,4,4.393,5,20,3448,1314,2,Buckling
1,4,4.787,10,20,5523,8750,1,Shell
1,4,5.181,15,20,7360,24936,1,Shell
1,4,5.574,20,20,8812,49614,1,Shell
1,4,5.968,25,20,9980,81036,1,Shell
1,8,8.393,5,5,1772,1718,2,Buckling
1,8,8.393,5,10,1772,847.3,2,Buckling
1,8,8.393,5,15,1772,525.2,2,Buckling
1,8,8.393,5,20,1772,428.8,2,Buckling
1,8,8.393,5,25,1772,356.6,2,Buckling
1,8,8.787,10,5,3448,9696,1,Shell
1,8,8.787,10,10,3448,4465,1,Shell
1,8,8.787,10,15,3448,3288,2,Buckling
1,8,8.787,10,20,3448,2243,2,Buckling
1,8,8.787,10,25,3448,1706,2,Buckling
1,8,9.181,15,5,4415,26938,1,Shell
1,8,9.181,15,10,4415,12422,1,Shell
1,8,9.181,15,15,4415,8343,1,Shell
1,8,9.181,15,20,4415,5729,1,Shell
1,8,9.181,15,25,4415,4768,1,Shell
0.5,1,1.1965,2.5,10,5523,8345,1,Shell
0.5,1,1.3935,5,10,8812,47615,1,Shell
0.5,2,2.1965,2.5,10,3448,1314,2,Buckling
0.5,2,2.3935,5,10,5523,8750,1,Shell
0.5,2,2.5905,7.5,10,7360,24936,1,Shell
0.5,2,2.787,10,10,8812,49614,1,Shell
0.5,2,2.984,12.5,10,9980,81036,1,Shell
0.5,4,4.1965,2.5,2.5,1772,1718,2,Buckling
0.5,4,4.1965,2.5,5,1772,847.3,2,Buckling
0.5,4,4.1965,2.5,7.5,1772,525.2,2,Buckling
0.5,4,4.1965,2.5,10,1772,428.8,2,Buckling
0.5,4,4.1965,2.5,12.5,1772,356.6,2,Buckling
0.5,4,4.3935,5,2.5,3448,9696,1,Shell
0.5,4,4.3935,5,5,3448,4465,1,Shell
0.5,4,4.3935,5,7.5,3448,3288,2,Buckling
0.5,4,4.3935,5,10,3448,2243,2,Buckling
0.5,4,4.3935,5,12.5,3448,1706,2,Buckling
0.5,4,4.5905,7.5,2.5,4415,26938,1,Shell
0.5,4,4.5905,7.5,5,4415,12422,1,Shell
0.5,4,4.5905,7.5,7.5,4415,8343,1,Shell
0.5,4,4.5905,7.5,10,4415,5729,1,Shell
0.5,4,4.5905,7.5,12.5,4415,4768,1,Shell
2,4,4.786,10,40,5523,8345,1,Shell
2,4,5.574,20,40,8812,47615,1,Shell
2,8,8.786,10,40,3448,1314,2,Buckling
2,8,9.574,20,40,5523,8750,1,Shell
2,8,10.362,30,40,7360,24936,1,Shell
2,8,11.148,40,40,8812,49614,1,Shell
2,8,11.936,50,40,9980,81036,1,Shell
2,16,16.786,10,10,1772,1718,2,Buckling
2,16,16.786,10,20,1772,847.3,2,Buckling
2,16,16.786,10,30,1772,525.2,2,Buckling
2,16,16.786,10,40,1772,428.8,2,Buckling
2,16,16.786,10,50,1772,356.6,2,Buckling
2,16,17.574,20,10,3448,9696,1,Shell
2,16,17.574,20,20,3448,4465,1,Shell
2,16,17.574,20,30,3448,3288,2,Buckling
2,16,17.574,20,40,3448,2243,2,Buckling
2,16,17.574,20,50,3448,1706,2,Buckling
2,16,18.362,30,10,4415,26938,1,Shell
2,16,18.362,30,20,4415,12422,1,Shell
2,16,18.362,30,30,4415,8343,1,Shell
2,16,18.362,30,40,4415,5729,1,Shell
2,16,18.362,30,50,4415,4768,1,Shell
3,6,7.179,15,60,5523,8345,1,Shell
3,6,8.361,30,60,8812,47615,1,Shell
3,12,13.179,15,60,3448,1314,2,Buckling
3,12,14.361,30,60,5523,8750,1,Shell
3,12,15.543,45,60,7360,24936,1,Shell
3,12,16.722,60,60,8812,49614,1,Shell
3,12,17.904,75,60,9980,81036,1,Shell
3,24,25.179,15,15,1772,1718,2,Buckling
3,24,25.179,15,30,1772,847.3,2,Buckling
3,24,25.179,15,45,1772,525.2,2,Buckling
3,24,25.179,15,60,1772,428.8,2,Buckling
3,24,25.179,15,75,1772,356.6,2,Buckling
3,24,26.361,30,15,3448,9696,1,Shell
3,24,26.361,30,30,3448,4465,1,Shell
3,24,26.361,30,45,3448,3288,2,Buckling
3,24,26.361,30,60,3448,2243,2,Buckling
3,24,26.361,30,75,3448,1706,2,Buckling
3,24,27.543,45,15,4415,26938,1,Shell
3,24,27.543,45,30,4415,12422,1,Shell
3,24,27.543,45,45,4415,8343,1,Shell
3,24,27.543,45,60,4415,5729,1,Shell
3,24,27.543,45,75,4415,4768,1,Shell
4,8,9.572,20,80,5523,8345,1,Shell
4,8,11.148,40,80,8812,47615,1,Shell
4,16,17.572,20,80,3448,1314,2,Buckling
4,16,19.148,40,80,5523,8750,1,Shell
4,16,20.724,60,80,7360,24936,1,Shell
4,16,22.296,80,80,8812,49614,1,Shell
4,16,23.872,100,80,9980,81036,1,Shell
4,32,33.572,20,20,1772,1718,2,Buckling
